Gemeente,Gebundelde uitkering Budget Definitief,Lasten Definitief,Baten Definitief,Participatiebudget Budget Voorlopig,Participatiebudget w.v. Educatiemiddelen Voorlopig,Bbz Budget Definitief,Best. levensonderhoud,Best. kapitaal,Best. onderzoek,Best. Bob,Best. Bob uitvoeringskosten,Baten levensonderhoud,Baten kapitaal,Baten Bob
Tynaarlo,5290518,5308292,160428,612037,64786,50559,142754,52000,49170,0,0,55310,102733,0
Midden-Drenthe,5741100,5946086,120721,697649,111716,19705,125146,216000,62186,0,0,67176,78876,0
Overbetuwe,7706441,7866323,161905,693987,76177,29217,26788,0,20677,0,0,18271,41172,0
Hof van Twente,4873772,4831835,51838,488781,86032,72381,149178,230156,69355,0,0,19278,204439,0
Neder-Betuwe,2868647,3477329,46188,276689,31287,41547,21093,30000,18450,0,0,2291,100873,0
Rijssen-Holten,4121568,4619700,118731,422528,54434,31793,58547,93277,64188,0,0,10388,69721,0
Geldrop-Mierlo,9031033,9904984,160199,1004741,73812,9134,57686,4500,17763,0,0,15878,69275,0
Olst-Wijhe,1906582,2223692,49085,248721,31154,17219,31678,71000,15094,0,0,9901,17329,0
Dinkelland,2337292,2510832,78789,191107,35247,49033,60775,220574,24045,0,0,13035,109475,0
Westland,14107400,15588181,303917,1404945,284184,155214,151736,439000,61236,0,0,52575,1034179,0
Midden-Delfland,1369629,1435104,110235,176242,24458,2369,3370,0,0,0,0,0,0,0
Berkelland,6770890,7339353,296723,832992,72555,54286,223098,18104,44340,0,0,25511,256468,0
Bronckhorst,3560276,3793762,63126,383716,54970,34202,299563,80986,41913,0,0,0,173668,0
Sittard-Geleen,39430988,39249999,742980,5136673,250116,18689,58894,47500,64513,0,0,36208,93704,0
Kaag en Braassem,2069448,2548615,121231,216023,50420,18999,59536,8900,9417,0,0,38304,80706,0
Dantumadiel,6655059,7339922,144523,786159,41451,16904,86928,120000,11943,0,0,11865,29476,0
Zuidplas,6980125,6622914,174923,795777,119796,27931,3236,0,10924,0,0,0,153780,0
Peel en Maas,4662394,5018576,59081,505871,131503,23615,174234,237588,68956,0,0,9750,344643,0
Oldambt,17513951,19736397,302741,2755539,152891,35614,77740,286618,57631,0,0,6424,169609,0
Zwartewaterland,2420033,2736006,56760,215151,51373,1210,31323,20000,13640,0,0,15437,48958,0
Sûdwest-Fryslân,27222242,31231292,652639,3122301,229972,76232,670358,259700,95514,0,0,310627,186433,0
Bodegraven-Reeuwijk,2888066,3216397,80475,279874,64652,10783,21265,164583,28886,0,0,3680,60813,0
