Gemeente,Gebundelde uitkering Budget Definitief,Gebundelde uitkering Lasten Definitief,Gebundelde uitkering Baten Definitief,Participatiebudget Budget Definitief,w.v. Educatiemiddelen Definitief,Participatiebudget Lasten Voorlopig,w.v. besteding bij ROCs Voorlopig,w.v. besteding bij ROCs Baten Voorlopig,w.v. bij ROC Voorlopig,Bbz Budget Definitief
Sint-Michielsgestel,2282876,2438235,47447,440071,143177,415602,85602,11746,0,9477
Sint-Oedenrode,1284394,1355562,18957,222689,94495,224566,93785,0,0,3186
Someren,2465501,2503200,19566,371561,111222,580037,111222,0,0,8260
Son en Breugel,2022333,2222767,23816,303920,65277,303921,59414,0,0,3404
Steenbergen,2972857,3304824,66703,529094,155219,155219,155219,0,0,2365
Waterland,1404162,1415944,30045,288221,81958,346615,81958,1808,0,3077
Tilburg,80791776,82025934,2711149,16913681,1480867,21604255,2736308,1557730,1266564,109120
Uden,7756310,7294156,198696,1549895,262198,1782984,262198,17935,0,40149
Valkenswaard,6495900,6160791,115717,1106166,198865,1320973,131598,9880,0,40534
Veghel,4074764,4149156,77205,799514,264335,1020689,262332,19812,0,32545
Veldhoven,6231211,5595901,133235,994585,233917,1126557,225670,38867,0,39033
Vught,3513687,3410408,56626,498505,145817,594603,145817,10139,0,8899
Waalre,2123566,2048768,27585,308195,74558,365501,74558,2775,0,5685
Waalwijk,9018322,8633271,177880,1530465,343177,1753264,340599,12813,0,75385
Werkendam,2044211,2002460,95779,407433,173838,492553,167468,27302,0,0
Woensdrecht,3549454,3554305,78027,574373,133020,739473,133020,975,0,22969
Woudrichem,1134555,1070829,25633,209358,93645,192608,90213,554,0,3686
Zundert,1762493,1902056,12833,350310,143039,410737,143039,1705,0,23232
Wormerland,2156748,2615035,18756,454626,86307,308094,41632,0,0,15172
Onderbanken,1921935,1987921,21702,339718,48292,343794,48292,0,0,795
Landgraaf,14370850,14768363,212561,3160730,279722,3489291,258366,40551,0,16844
Beek,3321852,3296422,35515,619564,97187,1002432,97187,810,0,3659
Beesel,2797086,2992890,93707,561157,105032,523460,105032,0,0,3434
Bergen (L.),1697206,1921273,14071,364432,93436,439465,93436,540,0,80631
Brunssum,13103297,13159571,189398,2255570,231875,2532217,239573,0,0,6266
Gennep,2885050,2918008,34284,514330,109277,749390,109277,18653,0,20452
Heerlen,57989781,62853023,1051944,13052054,741197,14550769,1065630,142931,0,84276
Kerkrade,26080585,27651109,904476,5339106,392062,5046190,457496,0,0,47820
Maastricht,52386399,47115063,1450455,9612204,830331,12764380,830331,11023,0,113756
